REF_DATE,GEO,DGUID,Sex,Age group,Activity,Frequency,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1990,Austria,,Males,11 years,Eating fruit,More than once a day,Percent,239,units ,0,v656366,1.1.1.1.1,34,,,,0
1990,Austria,,Males,11 years,Eating fruit,Once a day,Percent,239,units ,0,v656367,1.1.1.1.2,42,,,,0
1990,Austria,,Males,11 years,Eating fruit,At least once a week,Percent,239,units ,0,v656368,1.1.1.1.3,17,,,,0
1990,Austria,,Males,11 years,Eating fruit,Seldom,Percent,239,units ,0,v656369,1.1.1.1.4,4,,,,0
1990,Austria,,Males,11 years,Eating fruit,Never,Percent,239,units ,0,v656370,1.1.1.1.5,3,,,,0
1990,Austria,,Males,11 years,Eating raw vegetables,More than once a day,Percent,239,units ,0,v657056,1.1.1.2.1,15,,,,0
1990,Austria,,Males,11 years,Eating raw vegetables,Once a day,Percent,239,units ,0,v657057,1.1.1.2.2,34,,,,0
1990,Austria,,Males,11 years,Eating raw vegetables,At least once a week,Percent,239,units ,0,v657058,1.1.1.2.3,30,,,,0
1990,Austria,,Males,11 years,Eating raw vegetables,Seldom,Percent,239,units ,0,v657059,1.1.1.2.4,16,,,,0
1990,Austria,,Males,11 years,Eating raw vegetables,Never,Percent,239,units ,0,v657060,1.1.1.2.5,5,,,,0
1990,Austria,,Males,11 years,"Eating candy, chocolate bars",More than once a day,Percent,239,units ,0,v658796,1.1.1.3.1,9,,,,0
1990,Austria,,Males,11 years,"Eating candy, chocolate bars",Once a day,Percent,239,units ,0,v658797,1.1.1.3.2,18,,,,0
1990,Austria,,Males,11 years,"Eating candy, chocolate bars",At least once a week,Percent,239,units ,0,v658798,1.1.1.3.3,33,,,,0
1990,Austria,,Males,11 years,"Eating candy, chocolate bars",Seldom,Percent,239,units ,0,v658799,1.1.1.3.4,33,,,,0
1990,Austria,,Males,11 years,"Eating candy, chocolate bars",Never,Percent,239,units ,0,v658800,1.1.1.3.5,7,,,,0
1990,Austria,,Males,11 years,"Eating potato chips, crisps",More than once a day,Percent,239,units ,0,v659486,1.1.1.4.1,6,,,,0
1990,Austria,,Males,11 years,"Eating potato chips, crisps",Once a day,Percent,239,units ,0,v659487,1.1.1.4.2,8,,,,0
1990,Austria,,Males,11 years,"Eating potato chips, crisps",At least once a week,Percent,239,units ,0,v659488,1.1.1.4.3,21,,,,0
1990,Austria,,Males,11 years,"Eating potato chips, crisps",Seldom,Percent,239,units ,0,v659489,1.1.1.4.4,56,,,,0
1990,Austria,,Males,11 years,"Eating potato chips, crisps",Never,Percent,239,units ,0,v659490,1.1.1.4.5,9,,,,0
1990,Austria,,Males,11 years,Eating french fries,More than once a day,Percent,239,units ,0,v660116,1.1.1.5.1,5,,,,0
1990,Austria,,Males,11 years,Eating french fries,Once a day,Percent,239,units ,0,v660117,1.1.1.5.2,4,,,,0
1990,Austria,,Males,11 years,Eating french fries,At least once a week,Percent,239,units ,0,v660118,1.1.1.5.3,30,,,,0
1990,Austria,,Males,11 years,Eating french fries,Seldom,Percent,239,units ,0,v660119,1.1.1.5.4,55,,,,0
