Crash_ID,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Case_ID,Local_Use,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,ORI_Number,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,MPO_ID,Investigat_Service_ID,Investigat_DA_ID,Investigator_Narrative
13056580,N,N,N,N,N,N,N,1/3/2013,8:40 AM,SAPD13001574,3360,15,379,N,Y,,,19,,,1,5900,,CASTLE CROSS,,N,N,35,N,N,,Y,19,,,1,4700,,CASTLE CROSS,,,,,,,,3,1,4,,1,2,8,9:20 AM,DRIVER APPROCHED ME,9:40 AM,1/3/2013,Y,TXSPD0000,2473,,29,131,8,2,2,22,64,38,1,5,1,21,21,15,379,29.48602333,-98.37184212,,,,,CASTLE CROSS DR,4733,,,,,,,,,UNKNOWN,,,,,Y,N,N,5,9,Y,THU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,28,,,
13056760,N,N,N,N,N,N,N,1/2/2013,5:00 PM,SAPD13001181,4240,15,379,N,Y,,,1,2700,,1,2700,N,INTERSTATE 37,,N,N,70,N,N,INTERSTATE 37,N,19,,,,500,,FAIR,AVE,,,,,500 FAIR AVE,,12,1,0,2,1,1,1,5:27 PM,DISP,5:33 PM,1/2/2013,Y,TXSPD0000,2473,,9,162,8,7,4,1,56,54,1,1,2,21,21,15,379,29.38316541,-98.46834767,IH,37,,138.641,IH0037,,73,8,8.199,139,-0.156,,,,,,,,,Y,Y,N,5,9,Y,WED,5,0,10,10,60,9,8,360,136,96,6,0,0,2,20,5,2,20,5,2,40,4,11,121569,2014,121569,2.3,1.4,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,28,,,
13056784,N,N,N,N,N,N,N,1/2/2013,1:50 PM,0000651613D,,101,208,N,Y,,,19,,,1,3500,N,TERMINAL,RD,N,N,30,N,N,CONCRETE,N,95,,,,3600,S,TERMINAL,RD,,,,,,,12,1,98,,1,1,17,2:20 PM,DISPATCHED,2:23 PM,1/2/2013,Y,TXHPD0000,2469,14,172,104,8,4,4,4,64,54,1,5,1,21,21,101,208,29.98742475,-95.33729309,,,,,N TERMINAL RD,3500,,,,,,,,,,,,,,Y,N,N,5,9,Y,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,15,,,
13057545,N,N,N,N,N,N,N,1/1/2013,10:20 AM,13-0000000121,,105,383,N,Y,,,19,,,7,500,,PATRICIA,ST,N,N,30,N,N,,N,19,,,,,,BROADWAY,,,,,,,,12,1,0,,1,2,1,10:23 AM,DISPATCH,10:33 AM,1/1/2013,Y,TX1050100,2084,,,51,8,7,4,1,31,54,1,5,2,21,21,105,383,29.86226657,-97.94553068,,,,,PATRICIA DR,513,,,,,,,,,,,,,,Y,N,N,5,7,Y,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,90,,,
13060207,N,N,N,N,N,N,N,1/5/2013,2:44 PM,1300000487,,3,272,N,Y,,,9,59,,1,800,N,TIMBERLAND,DR,N,N,40,N,N,,Y,19,,,1,500,E,LAUREL,ST,,,,,,,12,1,2,3,2,2,11,2:44 PM,DISPATCHED,2:54 PM,1/5/2013,Y,TX0030400,1708,17,53,166,8,2,1,34,64,54,1,2,1,21,21,3,272,31.34705744,-94.71997246,BU,59,G,1.75,BU0059G,898,176,2,7.782,388,-0.221,,,,E LAUREL AVE,,,,,Y,Y,N,5,6,Y,SAT,2,0,2,2,0,9,4,120,65,60,6,2,2,2,2,5,2,2,5,0,0,2,14,12828,2014,12828,2.9,18.5,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,,,,
13060236,N,N,N,N,N,N,N,1/5/2013,3:12 PM,0001859213P,,101,208,N,Y,,,19,,,1,5200,,TREADWAY,,N,N,30,N,N,,Y,19,,,1,10,,BURRESS,ST,,,,,,,12,1,4,,1,2,8,3:12 PM,HPD DISPATCH,3:49 PM,1/5/2013,Y,TXHPD0000,2469,14,152,27,8,2,1,10,64,54,1,5,1,21,21,101,208,29.84188479,-95.38322308,,,,,TREADWAY ST,,,,,,,,,,BURRESS ST,,,,,Y,N,N,5,9,Y,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,15,,,
13060428,N,N,N,N,N,Y,N,1/1/2013,3:10 PM,130000057,,57,177,N,Y,,,14,303,,1,100,E,PIONEER,PKWY,N,N,40,N,N,,Y,19,,,1,2400,,CORN VALLEY,,,,,,,,11,1,4,2,1,1,5,3:10 PM,DISPATCHED,3:16 PM,1/29/2013,Y,TX0571200,1372,,,33,8,2,1,34,64,54,1,2,1,21,21,57,177,32.70949388,-97.00243667,SS,303,,14.001,SS0303,,2208,2,2.257,576,0.045,FM,1382,,FM1382,,,,,Y,Y,N,5,8,Y,TUE,3,0,0,0,14,3,6,120,66,66,5,1,1,1,0,0,1,0,0,3,14,4,14,22756,2014,22756,2.5,0.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,282,,,
13060528,N,N,N,N,N,N,N,1/5/2013,3:00 PM,0001855213B,,101,208,N,Y,,,19,,,1,5900,,HILLCROFT,AVE,N,N,35,N,N,TWO WAY DEVIDED,N,3,59,,,6600,SW,US 59 S,FWY,,,,,,,2,1,0,,1,2,20,3:03 PM,DISPATCHED,3:13 PM,1/5/2013,Y,TXHPD0000,2469,14,106,54,8,2,4,20,64,42,1,5,1,21,21,101,208,29.7181635,-95.50058591,,,,,HILLCROFT AVE,5900,,,,,,,,,,,,,,Y,N,N,5,9,Y,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,15,,,
13060607,N,N,N,N,N,N,N,1/2/2013,9:24 PM,0000805213F,,101,208,N,Y,,,2,59,,1,5900,S,SOUTHWEST,FWY,N,N,60,N,N,CONCRETE,N,19,,,,,,FOUNTAIN VIEW,DR,,,,,,,11,4,0,,1,1,1,9:24 PM,DISPATCH,9:24 PM,1/2/2013,Y,TXHPD0000,2469,18,106,54,8,2,4,21,39,9,1,2,1,21,21,101,208,,,US,59,,,US0059,,,,,,,,,,,,,,,Y,Y,N,2,9,N,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,1,0,,,,
13060631,N,N,N,N,N,N,N,1/6/2013,5:07 PM,13-437,,227,1792,Y,Y,30.40878,-98.10714,3,71,,1,25400,W,SH 71,,N,N,60,N,N,,Y,19,,,1,2500,S,PALEFACE RANCH,RD,,,,,,,11,5,2,3,1,1,5,5:07 PM,RADIO,5:15 PM,1/6/2013,Y,TX2270000,2292,,7,117,8,2,1,13,64,54,1,2,1,21,21,227,1792,30.40877088,-98.10725882,SH,71,,95.944,SH0071,,700,3,1.606,548,-0.4,,,,PALEFACE RANCH RD S,,,,,Y,Y,Y,5,0,Y,SUN,2,0,6,6,0,2,4,150,60,48,2,0,0,2,6,5,2,6,5,0,0,1,2,10929,2014,10929,3.2,5.6,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,90,,,
